Run number,2nd beam,Brho S2-S8,Secondary Target,MUSIC gain 0:low,If junk 1
237,86Kr,9.2772,0,0,0
238,86Kr,9.2772,0,0,0
239,86Kr,8.3929,0,0,0
240,86Kr,7.8866,0,0,0
241,86Kr,7.8866,0,0,0
242,86Kr,7.8866,0,0,0
243,86Kr,7.8866,0,0,1
244,86Kr,7.8866,0,0,0
245,86Kr,8.3929,0,0,0
246,86Kr,8.3929,0,0,0
247,86Kr,8.3929,1424,0,0
248,86Kr,8.3929,1424,0,0
249,40Ca,7.1175,1424,0,0
250,40Ca,7.1175,1424,0,0
251,40Ca,7.1175,539,0,0
252,40Ca,7.1175,539,0,0
253,calib,7.1175,539,0,0
254,40Ca,7.1175,539,0,0
255,40Ca,7.1175,185,0,1
256,40Ca,7.1175,185,0,0
257,39Ca,6.9389,1424,0,0
258,39Ca,6.9389,1424,0,0
259,39Ca,6.9389,1424,1,0
260,39Ca,6.9389,185,1,0
261,39Ca,6.9389,185,1,0
262,38Ca,6.7545,539,1,0
263,38Ca,6.7545,539,1,0
264,38Ca,6.7545,362,1,0
265,38Ca,6.7545,1424,1,0
266,38Ca,6.7545,539,1,0
267,38Ca,6.7545,362,1,0
268,38Ca,6.7545,1424,1,0
269,38Ca,6.7545,1424,1,0
270,38Ca,6.7545,1424,1,0
271,38Ca,6.7545,539,1,0
272,50Ca,9.0607,1424,1,0
273,50Ca,9.0607,1424,1,0
274,50Ca,9.0607,539,1,0
275,calib,9.0607,0,1,1
0,calib,9.0607,0,1,1
276,50Ca,9.0607,539,1,0
277,50Ca,9.0607,539,1,0
278,50Ca,9.0607,539,1,0
279,50Ca,9.0607,362,1,0
280,50Ca,9.0607,1424,1,0
281,50Ca,9.0607,539,1,0
282,50Ca,9.0607,362,1,0
283,50Ca,9.0607,1424,1,0
284,50Ca,9.0607,539,1,0
285,50Ca,9.0607,362,1,0
286,50Ca,9.0607,1424,1,0
287,50Ca,9.0607,539,1,0
288,50Ca,9.0607,362,1,0
289,50Ca,9.0607,1424,1,0
290,50Ca,9.0607,539,1,0
291,50Ca,9.0607,539,1,0
292,50Ca,9.0607,362,1,0
293,50Ca,9.0607,1424,1,0
294,50Ca,9.0607,539,1,0
295,50Ca,9.0607,362,1,0
296,50Ca,9.0607,1424,1,0
297,50Ca,9.0607,539,1,0
298,50Ca,9.0607,362,1,0
299,50Ca,9.0607,1424,1,0
300,50Ca,9.0607,539,1,0
301,50Ca,9.0607,362,1,0
302,50Ca,9.0607,1424,1,0
303,50Ca,9.0607,893,1,0
304,50Ca,9.0607,893,1,0
305,50Ca,9.0607,539,1,0
306,50Ca,9.0607,362,1,0
307,50Ca,9.0607,1424,1,0
308,50Ca,9.0607,539,1,0
309,50Ca,9.0607,362,1,0
310,50Ca,9.0607,1424,1,0
311,50Ca,9.0607,539,1,0
312,50Ca,9.0607,362,1,0
313,50Ca,9.0607,1424,1,0
314,50Ca,9.0607,539,1,0
315,50Ca,9.0607,539,1,0
316,50Ca,9.0607,362,1,0
317,50Ca,9.0607,1424,1,0
318,50Ca,9.0607,539,1,0
319,50Ca,9.0607,362,1,0
320,50Ca,9.0607,1424,1,0
321,50Ca,9.0607,539,1,0
322,50Ca,9.0607,362,1,0
323,50Ca,9.0607,1424,1,0
324,50Ca,9.0607,539,1,0
325,50Ca,9.0607,362,1,0
326,50Ca,9.0607,362,1,0
327,50Ca,9.0607,362,1,0
328,50Ca,9.0607,362,1,0
329,50Ca,9.0607,1424,1,0
330,50Ca,9.0607,893,1,0
331,50Ca,9.0607,539,1,0
332,50Ca,9.0607,362,1,0
333,50Ca,9.0607,1424,1,0
334,50Ca,9.0607,1424,1,0
335,50Ca,9.0607,539,1,0
336,50Ca,9.0607,362,1,0
337,50Ca,9.0607,1424,1,0
338,50Ca,9.0607,539,1,0
339,50Ca,9.0607,362,1,0
340,50Ca,9.0607,1424,1,0
341,50Ca,9.0607,1424,1,0
342,50Ca,9.0607,539,1,0
343,50Ca,9.0607,362,1,0
344,50Ca,9.0607,1424,1,0
345,50Ca,9.0607,539,1,0
346,50Ca,9.0607,362,1,0
347,50Ca,9.0607,1424,1,0
348,50Ca,9.0607,539,1,0
349,50Ca,9.0607,362,1,0
350,50Ca,9.0607,1424,1,0
351,50Ca,9.0607,539,1,0
352,50Ca,9.0607,362,1,0
353,50Ca,9.0607,1424,1,0
354,50Ca,9.0607,539,1,0
355,50Ca,9.0607,362,1,0
356,50Ca,9.0607,1424,1,0
357,50Ca,9.0607,893,1,0
358,50Ca,9.0607,539,1,0
359,86Kr,9.2799165,1424,1,0
360,86Kr,9.2799165,1424,0,0
361,86Kr,9.2799165,1424,0,0
362,86Kr,9.2799165,1424,0,0
363,86Kr,9.2799165,1424,0,0
364,86Kr,9.2799165,1424,0,0
365,86Kr,9.2799165,1424,0,0
366,86Kr,9.2799165,1424,0,0
367,86Kr,9.2799165,539,0,0
368,38Ca,6.757599,539,1,0
369,38Ca,6.757599,362,1,0
370,38Ca,6.757599,362,1,0
371,38Ca,6.757599,1424,1,0
372,38Ca,6.757599,893,1,0
373,38Ca,6.757599,539,1,0
374,38Ca,6.757599,362,1,0
375,38Ca,6.757599,1424,1,0
376,38Ca,6.757599,539,1,0
377,38Ca,6.757599,362,1,0
378,38Ca,6.757599,1424,1,0
379,38Ca,6.757599,539,1,0
380,38Ca,6.757599,362,1,0
381,calib,0,0,0,0
382,calib,0,0,0,0
383,calib,0,0,0,0
384,calib,0,0,0,0
385,calib,0,0,0,0
386,calib,0,0,0,0
