FRSZ, FRSA, empty counts in FRS, empty transmission, +/-, error, carbon counts in FRS, carbon transmission, +/-, error, ch2 counts in FRS, ch2 transmission, +/-, error, sigma-1n C, +/-, error, sigma-1n CH2, +/-, error, sigma-1n H, +/-, error, sigma-1p C, +/-, error, sigma-1p CH2, +/-, error, sigma-1p H +/-, error,
18, 41, 130, 1.83092, +/-, 0.238024, 246, 1.76335, +/-, 0.134802, 253, 1.5891, +/-, 0.149808, 0, +/-, -nan, 281.255, +/-, 209.111, 140.627, +/-, -nan, 0, +/-, -nan, 100.771, +/-, 98.1393, 50.3856, +/-, -nan, 
18, 42, 27029, 1.82613, +/-, 0.0163272, 60357, 1.70391, +/-, 0.00989155, 58482, 1.62096, +/-, 0.00997156, 63.8804, +/-, 11.1444, 157.4, +/-, 15.4671, 46.76, +/-, 9.53192, 34.4737, +/-, 2.38165, 69.3675, +/-, 5.88584, 17.4469, +/-, 3.17472, 
18, 43, 317772, 1.82257, +/-, 0.00478239, 710630, 1.7038, +/-, 0.00284494, 678691, 1.61777, +/-, 0.00290006, 66.8582, +/-, 3.32535, 157.38, +/-, 4.57983, 45.2611, +/-, 2.82987, 21.968, +/-, 0.553332, 49.1957, +/-, 1.35154, 13.6139, +/-, 0.730214, 
18, 44, 477701, 1.82216, +/-, 0.00390244, 1068595, 1.70193, +/-, 0.00234943, 1016765, 1.6159, +/-, 0.00238353, 63.5753, +/-, 2.1079, 155.964, +/-, 2.26227, 46.1944, +/-, 1.54605, 24.2174, +/-, 0.479133, 53.708, +/-, 1.1181, 14.7453, +/-, 0.608216, 
18, 45, 131907, 1.8182, +/-, 0.00760648, 295355, 1.6964, +/-, 0.00453597, 279623, 1.6117, +/-, 0.00459541, 73.2552, +/-, 3.81013, 168.587, +/-, 4.71677, 47.666, +/-, 3.03171, 16.9268, +/-, 1.18891, 38.9743, +/-, 1.99114, 11.0237, +/-, 1.15954, 
18, 46, 13030, 1.8093, +/-, 0.0240742, 28912, 1.69121, +/-, 0.0144776, 27704, 1.60415, +/-, 0.0146046, 53.3784, +/-, 21.7571, 162.009, +/-, 28.6141, 54.3155, +/-, 17.9732, 18.883, +/-, 2.67224, 42.3101, +/-, 6.52756, 11.7136, +/-, 3.52668, 
18, 47, 202, 1.79196, +/-, 0.188667, 381, 1.65187, +/-, 0.117666, 443, 1.57132, +/-, 0.10569, 234.038, +/-, 337.266, 351.051, +/-, 281.323, 58.5064, +/-, 219.597, 0, +/-, -nan, 116.526, +/-, 82.2585, 58.2632, +/-, -nan, 
18, 48, 1, 0, +/-, 0, 1, 0, +/-, -nan, 3, 0, +/-, 0, 0, +/-, 0, 0, +/-, 0, 0, +/-, 0, 0, +/-, 0, 0, +/-, 0, 0, +/-, 0, 
19, 43, 8, 2.01613, +/-, 0.751483, 12, 1.9289, +/-, 0.50324, 11, 1.55335, +/-, 0.583483, 0, +/-, -nan, 0, +/-, -nan, 0, +/-, -nan, 0, +/-, 0, 0, +/-, -nan, 0, +/-, -nan, 
19, 44, 3430, 1.82275, +/-, 0.0465819, 7848, 1.69859, +/-, 0.0279943, 7599, 1.61433, +/-, 0.0277609, 118.444, +/-, 21.5509, 154.343, +/-, 25.4627, 17.9494, +/-, 16.6793, 10.9779, +/-, 4.22087, 43.2404, +/-, 10.3306, 16.1313, +/-, 5.57982, 
19, 45, 157302, 1.81821, +/-, 0.00699246, 352099, 1.69915, +/-, 0.00419511, 334512, 1.61142, +/-, 0.00413819, 59.2825, +/-, 5.51589, 150.574, +/-, 6.9029, 45.6458, +/-, 4.41801, 20.1305, +/-, 1.38576, 43.8635, +/-, 1.62656, 11.8665, +/-, 1.06842, 
