FRS Z, FRS A, Frag Z, Frag A, Paddle 1, Paddle 2, Paddle 3, Paddle 4, Paddle 5, Paddle 6, Paddle 7, Paddle 8, Paddle 9, Paddle 10, Paddle 11, Paddle 12, Paddle 13, Paddle 14, Paddle 15, Paddle 16, Paddle 17, Paddle 18, Paddle 19, Paddle 20, Paddle 21, Paddle 22, Paddle 23, Paddle 24, Paddle 25, Paddle 26, Paddle 27, Paddle 28, total, total3, total_ratio 2sigma-3sigma
16, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 21, 51, 13, 3, 1, 0, 2, 2, 2, 1, 0, 0, 0, 100,0 ,0
16, 37, 16, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0
16, 37, 16, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14, 37, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 59, 77, 0.766234
16, 38, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 5, 5, 29, 149, 961, 1909, 512, 147, 102, 92, 93, 68, 45, 42, 5, 10, 0, 4177,0 ,0
16, 38, 16, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 6, 18, 13, 0, 0, 0, 0, 0, 0, 0, 0, 43, 59, 0.728814
16, 38, 16, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 21, 23, 13, 4, 0, 0, 0, 0, 0, 0, 0, 0, 69, 92, 0.75
16, 38, 16, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 101, 733, 1511, 308, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2664, 3133, 0.850303
16, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 1, 7, 5, 18, 55, 577, 3471, 6088, 1747, 426, 371, 302, 291, 258, 177, 131, 32, 40, 0, 14001,0 ,0
16, 39, 16, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 9, 18, 38, 12, 3, 0, 0, 0, 0, 0, 0, 82, 106, 0.773585
16, 39, 16, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 7, 25, 28, 37, 6, 2, 0, 0, 0, 0, 0, 0, 109, 139, 0.784173
16, 39, 16, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 11, 46, 64, 49, 12, 0, 0, 0, 0, 0, 0, 0, 0, 186, 264, 0.704545
16, 39, 16, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14, 404, 2715, 4843, 1129, 31, 0, 0, 0, 1, 0, 0, 0, 0, 0, 9138, 10794, 0.846581
16, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 2, 19, 82, 700, 3335, 4751, 1374, 350, 290, 318, 243, 243, 176, 153, 40, 46, 0, 12128,0 ,0
16, 40, 16, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 6, 15, 19, 4, 5, 0, 0, 1, 0, 0, 54, 78, 0.692308
16, 40, 16, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 4, 3, 16, 25, 16, 10, 0, 0, 0, 0, 0, 0, 75, 101, 0.742574
16, 40, 16, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 13, 27, 35, 29, 11, 1, 0, 0, 0, 0, 0, 0, 120, 165, 0.727273
16, 40, 16, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 6, 16, 53, 76, 32, 15, 1, 1, 0, 0, 0, 0, 0, 0, 202, 267, 0.756554
16, 40, 16, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 30, 529, 2559, 3711, 859, 30, 6, 1, 0, 0, 0, 0, 0, 0, 0, 7726, 9155, 0.84391
16, 41, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 13, 128, 548, 604, 173, 58, 42, 31, 43, 35, 37, 27, 8, 10, 0, 1760,0 ,0
16, 41, 16, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 3, 4, 0.75
16, 41, 16, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 4, 6, 0.666667
16, 41, 16, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 3, 4, 3, 1, 0, 0, 0, 0, 0, 0, 13, 15, 0.866667
16, 41, 16, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 1, 8, 2, 1, 0, 0, 0, 0, 0, 0, 0, 16, 23, 0.695652
16, 41, 16, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 13, 10, 5, 1, 0, 0, 0, 0, 0, 0, 0, 0, 35, 39, 0.897436
16, 41, 16, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 103, 436, 464, 111, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1130, 1315, 0.859316
16, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 38, 37, 14, 0, 3, 5, 1, 2, 3, 1, 0, 0, 0, 112,0 ,0
16, 42, 16, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1
16, 42, 16, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -nan
16, 42, 16, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 2, 2, 1
