FRS Z, FRS A, Frag Z, Frag A, Paddle 1, Paddle 2, Paddle 3, Paddle 4, Paddle 5, Paddle 6, Paddle 7, Paddle 8, Paddle 9, Paddle 10, Paddle 11, Paddle 12, Paddle 13, Paddle 14, Paddle 15, Paddle 16, Paddle 17, Paddle 18, Paddle 19, Paddle 20, Paddle 21, Paddle 22, Paddle 23, Paddle 24, Paddle 25, Paddle 26, Paddle 27, Paddle 28, total
16, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
16, 36, 16, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
16, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 21, 51, 13, 3, 1, 0, 2, 2, 2, 1, 0, 0, 0, 100
16, 37, 16, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
16, 37, 16, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12, 32, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 52
16, 38, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 5, 5, 29, 149, 961, 1909, 512, 147, 102, 92, 93, 68, 45, 42, 5, 10, 0, 4177
16, 38, 16, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 5, 21, 12, 1, 0, 0, 0, 0, 0, 0, 0, 42
16, 38, 16, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 14, 20, 17, 5, 0, 0, 0, 0, 0, 0, 1, 0, 65
16, 38, 16, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 107, 747, 1400, 322, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2590
16, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 1, 7, 5, 18, 55, 577, 3471, 6088, 1747, 426, 371, 302, 291, 258, 177, 131, 32, 40, 0, 14001
16, 39, 16, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 9, 20, 39, 22, 19, 0, 0, 0, 0, 0, 0, 113
16, 39, 16, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 3, 6, 25, 31, 39, 6, 2, 0, 0, 0, 0, 0, 0, 114
16, 39, 16, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11, 51, 70, 53, 12, 0, 1, 0, 0, 0, 0, 0, 0, 201
16, 39, 16, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19, 410, 2790, 4910, 1181, 38, 0, 0, 0, 1, 0, 0, 0, 0, 0, 9350
16, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 2, 19, 82, 700, 3335, 4751, 1374, 350, 290, 318, 243, 243, 176, 153, 40, 46, 0, 12128
