FRS Z, FRS A, Frag Z, Frag A, Paddle 1, Paddle 2, Paddle 3, Paddle 4, Paddle 5, Paddle 6, Paddle 7, Paddle 8, Paddle 9, Paddle 10, Paddle 11, Paddle 12, Paddle 13, Paddle 14, Paddle 15, Paddle 16, Paddle 17, Paddle 18, Paddle 19, Paddle 20, Paddle 21, Paddle 22, Paddle 23, Paddle 24, Paddle 25, Paddle 26, Paddle 27, Paddle 28, total
16, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
16, 36, 16, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
16, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 27, 6, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41
16, 37, 16, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
16, 37, 16, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 24, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33
16, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 60, 607, 1164, 87, 22, 12, 4, 12, 8, 2, 0, 1, 0, 0, 0, 0, 1981
16, 38, 16, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
16, 38, 16, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 7, 9, 4, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24
16, 38, 16, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 45, 495, 933, 60, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1537
16, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 14, 351, 2434, 3164, 248, 39, 32, 32, 22, 28, 17, 15, 5, 1, 2, 1, 0, 6407
16, 39, 16, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 2, 5, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
16, 39, 16, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 3, 10, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19
16, 39, 16, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 8, 19, 18, 7, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56
16, 39, 16, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 277, 1965, 2587, 154, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4993
16, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 26, 569, 2494, 2429, 142, 41, 52, 44, 36, 24, 16, 11, 7, 4, 4, 0, 0, 5902
