FRSZ,FRSA,FragZ,FragA,FRSZcentre,FRSZsigma,FRSAQcentre,FRSAQsigma,FragZcentre,FragZsigma,FragAQcentre,FragAQsigma
20,37,20,33,20,0.111,1.85,0.00134,20.1055,0.146595,1.66,0.0149998
20,37,20,34,20,0.111,1.85,0.00134,20.1055,0.146595,1.69637,9.87696e-05
20,37,20,35,20,0.111,1.85,0.00134,20.1055,0.146595,1.74,0.015
20,37,20,36,20,0.111,1.85,0.00134,20.1055,0.146595,1.79662,0.000108222
20,37,20,37,20,0.111,1.85,0.00134,20.1055,0.146595,1.86006,0.00797406
20,38,20,33,20,0.111,1.9,0.00134,20.1055,0.146595,1.66,0.0149998
20,38,20,34,20,0.111,1.9,0.00134,20.1055,0.146595,1.69637,9.87696e-05
20,38,20,35,20,0.111,1.9,0.00134,20.1055,0.146595,1.74,0.015
20,38,20,36,20,0.111,1.9,0.00134,20.1055,0.146595,1.79662,0.000108222
20,38,20,37,20,0.111,1.9,0.00134,20.1055,0.146595,1.85006,0.0144922
20,38,20,38,20,0.111,1.9,0.00134,20.1055,0.146595,1.90917,0.00824015
20,39,20,33,20,0.111,1.95,0.00134,20.1055,0.146595,1.62422,0.0149998
20,39,20,34,20,0.111,1.95,0.00134,20.1055,0.146595,1.69637,9.87696e-05
20,39,20,35,20,0.111,1.95,0.00134,20.1055,0.146595,1.74,0.015
20,39,20,36,20,0.111,1.95,0.00134,20.1055,0.146595,1.79662,0.000108222
20,39,20,37,20,0.111,1.95,0.00134,20.1055,0.146595,1.85006,0.0144922
20,39,20,38,20,0.111,1.95,0.00134,20.1055,0.146595,1.91213,0.00824015
20,39,20,39,20,0.111,1.95,0.00134,20.1055,0.146595,1.95748,0.00667618
20,40,20,33,20,0.111,2,0.00134,20.1055,0.146595,1.66,0.0149998
20,40,20,34,20,0.111,2,0.00134,20.1055,0.146595,1.69637,9.87696e-05
20,40,20,35,20,0.111,2,0.00134,20.1055,0.146595,1.74,0.015
20,40,20,36,20,0.111,2,0.00134,20.1055,0.146595,1.79662,0.000108222
20,40,20,37,20,0.111,2,0.00134,20.1055,0.146595,1.85006,0.0144922
20,40,20,38,20,0.111,2,0.00134,20.1055,0.146595,1.91182,0.00824015
20,40,20,39,20,0.111,2,0.00134,20.1055,0.146595,1.96573,0.00688753
20,40,20,40,20,0.111,2,0.00134,20.1055,0.146595,2.00546,0.00753734
20,41,20,33,20,0.111,2.05,0.00134,20.1055,0.146595,1.66,0.0149998
20,41,20,34,20,0.111,2.05,0.00134,20.1055,0.146595,1.63252,9.87696e-05
20,41,20,35,20,0.111,2.05,0.00134,20.1055,0.146595,1.74,0.015
20,41,20,36,20,0.111,2.05,0.00134,20.1055,0.146595,1.79662,0.000108222
20,41,20,37,20,0.111,2.05,0.00134,20.1055,0.146595,1.85006,0.0144922
20,41,20,38,20,0.111,2.05,0.00134,20.1055,0.146595,1.90954,0.00824015
20,41,20,39,20,0.111,2.05,0.00134,20.1055,0.146595,1.96812,0.00667618
20,41,20,40,20,0.111,2.05,0.00134,20.1055,0.146595,2.01207,0.00753734
20,41,20,41,20,0.111,2.05,0.00134,20.1055,0.146595,2.05401,0.00734151
20,42,20,33,20,0.111,2.1,0.00134,20.1055,0.146595,1.66,0.0149998
20,42,20,34,20,0.111,2.1,0.00134,20.1055,0.146595,1.69637,9.87696e-05
20,42,20,35,20,0.111,2.1,0.00134,20.1055,0.146595,1.74,0.015
20,42,20,36,20,0.111,2.1,0.00134,20.1055,0.146595,1.79662,0.000108222
20,42,20,37,20,0.111,2.1,0.00134,20.1055,0.146595,1.85006,0.0144922
20,42,20,38,20,0.111,2.1,0.00134,20.1055,0.146595,1.90954,0.00824015
20,42,20,39,20,0.111,2.1,0.00134,20.1055,0.146595,1.9575,0.00667618
20,42,20,40,20,0.111,2.1,0.00134,20.1055,0.146595,2.01598,0.00753734
20,42,20,41,20,0.111,2.1,0.00134,20.1055,0.146595,2.05975,0.00734151
20,42,20,42,20,0.111,2.1,0.00134,20.1055,0.146595,2.09836,0.00770824
20,43,20,33,20,0.111,2.15,0.00134,20.1055,0.146595,1.66,0.0149998
20,43,20,34,20,0.111,2.15,0.00134,20.1055,0.146595,1.69637,9.87696e-05
20,43,20,35,20,0.111,2.15,0.00134,20.1055,0.146595,1.74,0.015
20,43,20,36,20,0.111,2.15,0.00134,20.1055,0.146595,1.79662,0.000108222
20,43,20,37,20,0.111,2.15,0.00134,20.1055,0.146595,1.85006,0.0144922
20,43,20,38,20,0.111,2.15,0.00134,20.1055,0.146595,1.90954,0.00824015
20,43,20,39,20,0.111,2.15,0.00134,20.1055,0.146595,1.9575,0.00667618
20,43,20,40,20,0.111,2.15,0.00134,20.1055,0.146595,2.01734,0.00753734
20,43,20,41,20,0.111,2.15,0.00134,20.1055,0.146595,2.05713,0.00734151
20,43,20,42,20,0.111,2.15,0.00134,20.1055,0.146595,2.10255,0.00968156
20,43,20,43,20,0.111,2.15,0.00134,20.1055,0.146595,2.14639,0.00812725
20,44,20,33,20,0.111,2.2,0.00134,20.1055,0.146595,1.66,0.0149998
20,44,20,34,20,0.111,2.2,0.00134,20.1055,0.146595,1.69637,9.87696e-05
20,44,20,35,20,0.111,2.2,0.00134,20.1055,0.146595,1.74,0.015
20,44,20,36,20,0.111,2.2,0.00134,20.1055,0.146595,1.79662,0.000108222
20,44,20,37,20,0.111,2.2,0.00134,20.1055,0.146595,1.85006,0.0144922
20,44,20,38,20,0.111,2.2,0.00134,20.1055,0.146595,1.90954,0.00824015
20,44,20,39,20,0.111,2.2,0.00134,20.1055,0.146595,1.9575,0.00667618
20,44,20,40,20,0.111,2.2,0.00134,20.1055,0.146595,2.00523,0.00753734
20,44,20,41,20,0.111,2.2,0.00134,20.1055,0.146595,2.0531,0.00734151
20,44,20,42,20,0.111,2.2,0.00134,20.1055,0.146595,2.09763,0.00968156
