FRSZ,FRSA,FragZ,FragA,FRSZcentre,FRSZsigma,FRSAQcentre,FRSAQsigma,FragZcentre,FragZsigma,FragAQcentre,FragAQsigma
20,37,20,33,20,0.111,1.85,0.00134,19.9912,0.149381,1.66,0.0149998
20,37,20,34,20,0.111,1.85,0.00134,19.9912,0.149381,1.705,9.87696e-05
20,37,20,35,20,0.111,1.85,0.00134,19.9912,0.149381,1.75336,0.015
20,37,20,36,20,0.111,1.85,0.00134,19.9912,0.149381,1.79,0.000108222
20,37,20,37,20,0.111,1.85,0.00134,19.9912,0.149381,1.85921,0.00870022
20,38,20,33,20,0.111,1.9,0.00134,19.9912,0.149381,1.66,0.0149998
20,38,20,34,20,0.111,1.9,0.00134,19.9912,0.149381,1.705,9.87696e-05
20,38,20,35,20,0.111,1.9,0.00134,19.9912,0.149381,1.75336,0.015
20,38,20,36,20,0.111,1.9,0.00134,19.9912,0.149381,1.79,0.000108222
20,38,20,37,20,0.111,1.9,0.00134,19.9912,0.149381,1.8508,0.0144922
20,38,20,38,20,0.111,1.9,0.00134,19.9912,0.149381,1.91004,0.00824015
20,39,20,33,20,0.111,1.95,0.00134,19.9912,0.149381,1.66,0.0149998
20,39,20,34,20,0.111,1.95,0.00134,19.9912,0.149381,1.705,9.87696e-05
20,39,20,35,20,0.111,1.95,0.00134,19.9912,0.149381,1.75336,0.015
20,39,20,36,20,0.111,1.95,0.00134,19.9912,0.149381,1.79,0.000108222
20,39,20,37,20,0.111,1.95,0.00134,19.9912,0.149381,1.8508,0.0144922
20,39,20,38,20,0.111,1.95,0.00134,19.9912,0.149381,1.93392,0.00824015
20,39,20,39,20,0.111,1.95,0.00134,19.9912,0.149381,1.95774,0.00667618
20,40,20,33,20,0.111,2,0.00134,19.9912,0.149381,1.66,0.0149998
20,40,20,34,20,0.111,2,0.00134,19.9912,0.149381,1.705,9.87696e-05
20,40,20,35,20,0.111,2,0.00134,19.9912,0.149381,1.75336,0.015
20,40,20,36,20,0.111,2,0.00134,19.9912,0.149381,1.79,0.000108222
20,40,20,37,20,0.111,2,0.00134,19.9912,0.149381,1.8508,0.0144922
20,40,20,38,20,0.111,2,0.00134,19.9912,0.149381,1.92753,0.00824015
20,40,20,39,20,0.111,2,0.00134,19.9912,0.149381,1.97461,0.00667618
20,40,20,40,20,0.111,2,0.00134,19.9912,0.149381,2.00466,0.00753734
20,41,20,33,20,0.111,2.05,0.00134,19.9912,0.149381,1.66,0.0149998
20,41,20,34,20,0.111,2.05,0.00134,19.9912,0.149381,1.705,9.87696e-05
20,41,20,35,20,0.111,2.05,0.00134,19.9912,0.149381,1.75336,0.015
20,41,20,36,20,0.111,2.05,0.00134,19.9912,0.149381,1.79,0.000108222
20,41,20,37,20,0.111,2.05,0.00134,19.9912,0.149381,1.8508,0.0144922
20,41,20,38,20,0.111,2.05,0.00134,19.9912,0.149381,1.90991,0.00824015
20,41,20,39,20,0.111,2.05,0.00134,19.9912,0.149381,1.94089,0.00667618
20,41,20,40,20,0.111,2.05,0.00134,19.9912,0.149381,2.03208,0.00753734
20,41,20,41,20,0.111,2.05,0.00134,19.9912,0.149381,2.05332,0.00734151
20,42,20,33,20,0.111,2.1,0.00134,19.9912,0.149381,1.66,0.0149998
20,42,20,34,20,0.111,2.1,0.00134,19.9912,0.149381,1.705,9.87696e-05
20,42,20,35,20,0.111,2.1,0.00134,19.9912,0.149381,1.75336,0.015
20,42,20,36,20,0.111,2.1,0.00134,19.9912,0.149381,1.79,0.000108222
20,42,20,37,20,0.111,2.1,0.00134,19.9912,0.149381,1.8508,0.0144922
20,42,20,38,20,0.111,2.1,0.00134,19.9912,0.149381,1.90991,0.00824015
20,42,20,39,20,0.111,2.1,0.00134,19.9912,0.149381,1.95696,0.00667618
20,42,20,40,20,0.111,2.1,0.00134,19.9912,0.149381,2.00415,0.00753734
20,42,20,41,20,0.111,2.1,0.00134,19.9912,0.149381,2.05136,0.00734151
20,42,20,42,20,0.111,2.1,0.00134,19.9912,0.149381,2.0983,0.00968156
20,43,20,33,20,0.111,2.15,0.00134,19.9912,0.149381,1.66,0.0149998
20,43,20,34,20,0.111,2.15,0.00134,19.9912,0.149381,1.705,9.87696e-05
20,43,20,35,20,0.111,2.15,0.00134,19.9912,0.149381,1.75336,0.015
20,43,20,36,20,0.111,2.15,0.00134,19.9912,0.149381,1.79,0.000108222
20,43,20,37,20,0.111,2.15,0.00134,19.9912,0.149381,1.8508,0.0144922
20,43,20,38,20,0.111,2.15,0.00134,19.9912,0.149381,1.90991,0.00824015
20,43,20,39,20,0.111,2.15,0.00134,19.9912,0.149381,1.95696,0.00667618
20,43,20,40,20,0.111,2.15,0.00134,19.9912,0.149381,2.00415,0.00753734
20,43,20,41,20,0.111,2.15,0.00134,19.9912,0.149381,2.05136,0.00734151
20,43,20,42,20,0.111,2.15,0.00134,19.9912,0.149381,2.09663,0.00968156
20,43,20,43,20,0.111,2.15,0.00134,19.9912,0.149381,2.14689,0.00812725
20,44,20,33,20,0.111,2.2,0.00134,19.9912,0.149381,1.66,0.0149998
20,44,20,34,20,0.111,2.2,0.00134,19.9912,0.149381,1.705,9.87696e-05
20,44,20,35,20,0.111,2.2,0.00134,19.9912,0.149381,1.75336,0.015
20,44,20,36,20,0.111,2.2,0.00134,19.9912,0.149381,1.79,0.000108222
20,44,20,37,20,0.111,2.2,0.00134,19.9912,0.149381,1.8508,0.0144922
20,44,20,38,20,0.111,2.2,0.00134,19.9912,0.149381,1.90991,0.00824015
20,44,20,39,20,0.111,2.2,0.00134,19.9912,0.149381,1.95696,0.00667618
20,44,20,40,20,0.111,2.2,0.00134,19.9912,0.149381,2.00415,0.00753734
20,44,20,41,20,0.111,2.2,0.00134,19.9912,0.149381,2.05136,0.00734151
20,44,20,42,20,0.111,2.2,0.00134,19.9912,0.149381,2.09663,0.00968156
20,44,20,43,20,0.111,2.2,0.00134,19.9912,0.149381,2.14945,0.00812725
20,44,20,44,20,0.111,2.2,0.00134,19.9912,0.149381,2.18796,0.00907333
