FRSZ,FRSA,FragZ,FragA,FRSZcentre,FRSZsigma,FRSAQcentre,FRSAQsigma,FragZcentre,FragZsigma,FragAQcentre,FragAQsigma
20,46,20,38,20,0.111,2.3,0.00134,19.9945,0.138149,1.90952,0.0149995
20,46,20,39,20,0.111,2.3,0.00134,19.9945,0.138149,1.95327,0.0149995
20,46,20,40,20,0.111,2.3,0.00134,19.9945,0.138149,2.00062,0.0149995
20,46,20,41,20,0.111,2.3,0.00134,19.9945,0.138149,2.04757,0.0149995
20,46,20,42,20,0.111,2.3,0.00134,19.9945,0.138149,2.09649,0.0149995
20,46,20,43,20,0.111,2.3,0.00134,19.9945,0.138149,2.15004,0.0149995
20,46,20,44,20,0.111,2.3,0.00134,19.9945,0.138149,2.20394,0.0149995
20,46,20,45,20,0.111,2.3,0.00134,19.9945,0.138149,2.24682,0.0149995
20,46,20,46,20,0.111,2.3,0.00134,19.9945,0.138149,2.30117,0.0149235
20,47,20,38,20,0.111,2.35,0.00134,19.9945,0.138149,1.90952,0.0149995
20,47,20,39,20,0.111,2.35,0.00134,19.9945,0.138149,1.9353,0.00672
20,47,20,40,20,0.111,2.35,0.00134,19.9945,0.138149,1.99653,0.00672
20,47,20,41,20,0.111,2.35,0.00134,19.9945,0.138149,2.05016,0.00672
20,47,20,42,20,0.111,2.35,0.00134,19.9945,0.138149,2.10911,0.00672
20,47,20,43,20,0.111,2.35,0.00134,19.9945,0.138149,2.13588,0.00672
20,47,20,44,20,0.111,2.35,0.00134,19.9945,0.138149,2.18608,0.00672
20,47,20,45,20,0.111,2.35,0.00134,19.9945,0.138149,2.23925,0.00672
20,47,20,46,20,0.111,2.35,0.00134,19.9945,0.138149,2.29694,0.013696
20,47,20,47,20,0.111,2.35,0.00134,19.9945,0.138149,2.35398,0.0105279
20,48,20,38,20,0.111,2.4,0.00134,19.9945,0.138149,1.92938,0.00672
20,48,20,39,20,0.111,2.4,0.00134,19.9945,0.138149,1.99062,0.00672
20,48,20,40,20,0.111,2.4,0.00134,19.9945,0.138149,2.02851,0.00672
20,48,20,41,20,0.111,2.4,0.00134,19.9945,0.138149,2.08129,0.00672
20,48,20,42,20,0.111,2.4,0.00134,19.9945,0.138149,2.10861,0.00672
20,48,20,43,20,0.111,2.4,0.00134,19.9945,0.138149,2.1578,0.00672
20,48,20,44,20,0.111,2.4,0.00134,19.9945,0.138149,2.18202,0.00672
20,48,20,45,20,0.111,2.4,0.00134,19.9945,0.138149,2.23048,0.00672
20,48,20,46,20,0.111,2.4,0.00134,19.9945,0.138149,2.28803,0.00672
20,48,20,47,20,0.111,2.4,0.00134,19.9945,0.138149,2.34482,0.0138129
20,48,20,48,20,0.111,2.4,0.00134,19.9945,0.138149,2.40173,0.00916845
20,49,20,38,20,0.111,2.45,0.00134,19.9945,0.138149,1.92769,0.00672
20,49,20,39,20,0.111,2.45,0.00134,19.9945,0.138149,1.98185,0.00672
20,49,20,40,20,0.111,2.45,0.00134,19.9945,0.138149,2.01586,0.00672
20,49,20,41,20,0.111,2.45,0.00134,19.9945,0.138149,2.06638,0.00672
