runnumcsv[i], FRSsetting[i], numoffspill, numonspill, numtpat1, numtpat0musicz, numtpat0scicave, numtpat0mastercave, numtpat0trig1, numtpat0trig2, numtpat0trig3, numtpat0trig1mastercave, numtpat0trig2mastercave, numtpat0trig3mastercave, SciL, SciR, Master
272, 13, 6608435, 19614295, 202122, 698, 964, 12344, 19386637, 21026, 4510, 12343, 0, 1, 317179, 453329, 6811602
273, 13, 4950707, 13621292, 143580, 527, 698, 9252, 13459768, 14737, 3207, 9252, 0, 0, 230208, 328533, 5095109
274, 13, 12113182, 29846220, 226442, 809, 1074, 22809, 29578750, 32135, 8893, 22808, 0, 1, 360960, 514098, 12341609
276, 13, 6091998, 14586518, 361887, 728, 1144, 9614, 14201725, 18707, 4199, 9613, 0, 1, 643348, 905138, 6454817
277, 13, 4695335, 22570295, 266858, 515, 807, 7421, 22283549, 14241, 5647, 7420, 0, 1, 474997, 668367, 4959519
278, 13, 3971119, 9529653, 235914, 487, 737, 6334, 9278849, 12170, 2720, 6333, 0, 1, 419857, 591291, 4207716
279, 13, 11726071, 28056702, 691894, 1417, 2094, 18594, 27320870, 35924, 8014, 18590, 0, 4, 1227539, 1727574, 12420148
280, 13, 5920531, 14062100, 349821, 721, 1094, 9481, 13690050, 18164, 4065, 9480, 0, 1, 620989, 873300, 6271488
281, 13, 12066464, 28101935, 658335, 1377, 2038, 19158, 27399275, 36060, 8265, 19156, 0, 2, 1168319, 1645455, 12727165
282, 13, 11686102, 28225907, 709670, 1488, 2253, 18614, 27471995, 36086, 8156, 18614, 0, 0, 1258402, 1771109, 12397789
283, 13, 5882837, 14026361, 345367, 700, 1102, 9154, 13658928, 18020, 4046, 9154, 0, 0, 620591, 873950, 6229531
284, 13, 12052919, 28523550, 682280, 1385, 2100, 18990, 27796892, 36373, 8005, 18989, 0, 1, 1208491, 1702690, 12737378
285, 13, 12420348, 29429558, 708097, 1424, 2211, 19554, 28675553, 37573, 8335, 19551, 0, 3, 1251447, 1763011, 13130907
286, 13, 4426776, 10456600, 254034, 498, 769, 7066, 10186098, 13464, 3004, 7065, 0, 1, 450592, 635270, 4681870
287, 13, 11952638, 28511383, 693427, 1391, 2149, 19030, 27773613, 36258, 8085, 19027, 0, 3, 1227155, 1728262, 12648108
288, 13, 11921756, 28464141, 670898, 1395, 2125, 18838, 27748892, 36250, 8101, 18835, 0, 3, 1243468, 1705343, 12594901
289, 13, 6090532, 14216672, 320525, 683, 1024, 9369, 13873809, 18299, 4039, 9367, 0, 2, 619663, 832834, 6412550
290, 13, 951374, 2139635, 43947, 98, 140, 1486, 2092375, 2740, 573, 1486, 0, 0, 84781, 113940, 995076
291, 13, 12028494, 28632604, 640611, 1363, 2088, 19206, 27947487, 36377, 8129, 19205, 0, 1, 1249788, 1680988, 12671315
292, 13, 11846307, 28226258, 639295, 1382, 2095, 18878, 27542883, 36002, 8078, 18876, 0, 2, 1239055, 1665546, 12487962
293, 13, 5989837, 13704493, 292242, 624, 966, 9183, 13390661, 17708, 3882, 9181, 0, 2, 568457, 764632, 6282728
294, 13, 10587863, 25114592, 561706, 1229, 1822, 16811, 24513772, 31978, 7136, 16811, 0, 0, 1088644, 1464220, 11151460
295, 13, 13760421, 32463445, 725830, 1552, 2354, 21668, 31686861, 41509, 9245, 21667, 0, 1, 1403271, 1887680, 14488807
296, 13, 2426415, 5628105, 123794, 284, 414, 3861, 5495459, 7251, 1601, 3861, 0, 0, 240587, 323323, 2550713
297, 13, 13062459, 30572996, 668485, 1435, 2187, 20543, 29856846, 39059, 8606, 20538, 0, 5, 1290970, 1737769, 13733414
298, 13, 13202208, 28857003, 542178, 1208, 1825, 20115, 28270078, 37160, 7587, 20112, 0, 3, 1045507, 1407908, 13746334
299, 13, 6671220, 13803342, 210782, 504, 752, 10052, 13571037, 18060, 3463, 10051, 0, 1, 392577, 532696, 6882744
300, 13, 13355490, 27635475, 416953, 1003, 1502, 20016, 27175605, 35946, 6971, 20015, 0, 1, 773847, 1049042, 13774213
301, 13, 12457253, 27978959, 566316, 1220, 1863, 19056, 27369088, 35949, 7606, 19054, 0, 2, 1095257, 1472937, 13025378
302, 13, 4226171, 15054224, 178490, 383, 584, 6451, 14860052, 11911, 3771, 6451, 0, 0, 348748, 469213, 4402683
304, 13, 12397063, 27868953, 565292, 1221, 1829, 19273, 27259879, 36043, 7739, 19271, 0, 2, 1108616, 1489334, 12964318
