runnumcsv[i], FRSsetting[i], numoffspill, numonspill, numtpat1, numtpat0musicz, numtpat0scicave, numtpat0mastercave, numtpat0trig1, numtpat0trig2, numtpat0trig3, numtpat0trig1mastercave, numtpat0trig2mastercave, numtpat0trig3mastercave, SciL, SciR, Master
237, 6, 839836, 5182854, 434895, 336, 843, 2050, 4741658, 5459, 842, 2050, 0, 0, 1520570, 2846974, 1274618
238, 6, 2574173, 18544174, 1596714, 1241, 3094, 7010, 16925253, 19209, 2998, 7007, 0, 3, 5587349, 10497845, 4171434
239, 7, 1056189, 3788885, 177529, 140, 345, 2066, 3606064, 4313, 979, 2066, 0, 0, 554758, 1048288, 1233937
240, 8, 135873, 800061, 50976, 10, 119, 289, 748068, 884, 133, 289, 0, 0, 187353, 331853, 186917
241, 8, 360821, 2568051, 203541, 34, 370, 908, 2361314, 2759, 437, 908, 0, 0, 763325, 1328141, 564393
242, 8, 116666, 8817178, 42210, 11, 93, 265, 8773013, 650, 1305, 265, 0, 0, 148308, 258740, 156386
244, 8, 486325, 791881, 0, 0, 0, 734, 790452, 1026, 403, 734, 0, 0, 0, 0, 486320
245, 8, 331580, 2467121, 212757, 0, 408, 905, 2251386, 2574, 404, 905, 0, 0, 783987, 1461290, 544323
246, 8, 995804, 6818525, 574505, 0, 1178, 2588, 6235876, 7053, 1091, 2588, 0, 0, 2146477, 4013625, 1570408
248, 8, 403957, 2978779, 251453, 0, 472, 1098, 2723808, 3045, 473, 1098, 0, 0, 954662, 1786720, 655875
249, 9, 1434020, 6234079, 343392, 263, 674, 2826, 5883248, 6478, 961, 2826, 0, 0, 1302494, 1967880, 1777387
250, 9, 3465595, 22980960, 2520289, 1669, 4521, 9612, 20434582, 22982, 3107, 9610, 0, 2, 6148589, 9333837, 5986479
251, 9, 136156, 1212257, 144009, 102, 290, 506, 1067008, 1095, 145, 506, 0, 0, 346320, 525368, 280348
252, 9, 2105565, 15618758, 1484368, 1125, 3184, 6235, 14118267, 14239, 1884, 6233, 0, 2, 4188583, 6357595, 3590157
254, 9, 871002, 7548905, 735346, 559, 1617, 2931, 6805861, 6779, 919, 2931, 0, 0, 2078491, 3156196, 1606528
256, 9, 2028943, 7868132, 437577, 348, 911, 4050, 7420476, 8431, 1648, 4050, 0, 0, 1098298, 1667018, 2467128
257, 10, 697926, 4306374, 308154, 180, 563, 1579, 3993011, 4600, 609, 1579, 0, 0, 620986, 965248, 1006118
258, 10, 527256, 2934872, 206780, 135, 365, 1155, 2724459, 3213, 420, 1155, 0, 0, 412440, 641399, 733839
